"Points:0","Points:1","Points:2","alpha.water"
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30095,0.005,0.25
2.151,0.30095,0.005,0.25
2.151,0.30095,0.005,0.25
2.151,0.30095,0.005,0.25
2.151,0.30095,0.005,0.25
2.151,0.30095,0.005,0.25
2.151,0.30095,0.005,0.25
2.151,0.30095,0.005,0.25
2.151,0.30095,0.005,0.25
2.151,0.30095,0.005,0.25
2.151,0.30095,0.005,0.25
