"Points:0","Points:1","Points:2","alpha.water"
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.29999,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.3,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30001,0.005,0.25
2,0.30002,0.005,0.25
2,0.30002,0.005,0.25
2,0.30003,0.005,0.25
2,0.30003,0.005,0.25
2,0.30004,0.005,0.25
2,0.30004,0.005,0.25
2,0.30005,0.005,0.25
2,0.30006,0.005,0.25
2,0.30006,0.005,0.25
2,0.30007,0.005,0.25
2,0.30008,0.005,0.25
2,0.30009,0.005,0.25
2,0.30009,0.005,0.25
2,0.3001,0.005,0.25
2,0.30011,0.005,0.25
2,0.30012,0.005,0.25
2,0.30012,0.005,0.25
2,0.30013,0.005,0.25
2,0.30014,0.005,0.25
2,0.30015,0.005,0.25
2,0.30015,0.005,0.25
2,0.30016,0.005,0.25
2,0.30017,0.005,0.25
2,0.30018,0.005,0.25
2,0.30018,0.005,0.25
2,0.30019,0.005,0.25
2,0.3002,0.005,0.25
2,0.30021,0.005,0.25
2,0.30022,0.005,0.25
2,0.30022,0.005,0.25
2,0.30023,0.005,0.25
2,0.30024,0.005,0.25
2,0.30025,0.005,0.25
2,0.30025,0.005,0.25
2,0.30026,0.005,0.25
2,0.30026,0.005,0.25
2,0.30026,0.005,0.25
2,0.30026,0.005,0.25
2,0.30026,0.005,0.25
2,0.30026,0.005,0.25
2,0.30025,0.005,0.25
2,0.30025,0.005,0.25
2,0.30025,0.005,0.25
2,0.30024,0.005,0.25
2,0.30023,0.005,0.25
2,0.30022,0.005,0.25
2,0.30022,0.005,0.25
2,0.30021,0.005,0.25
